,sim,lda,freq,lda_log_freq_1,corpus,n_comp,size,delta,delta_max
239,21,0.34418,0.32782,0.34416,en_wiki,2,4096,0.01634000000000002,0.016359999999999986
240,21,0.34418,0.32782,0.34412,en_wiki,2,8192,0.01629999999999998,0.016359999999999986
241,21,0.34418,0.32782,0.34398,en_wiki,2,20615,0.016160000000000008,0.016359999999999986
242,22,0.34418,0.32782,0.32659,en_wiki,2,16,-0.0012300000000000089,0.016359999999999986
243,22,0.34418,0.32782,0.34269,en_wiki,2,32,0.014869999999999994,0.016359999999999986
244,22,0.34418,0.32782,0.34354,en_wiki,2,64,0.015720000000000012,0.016359999999999986
245,22,0.34418,0.32782,0.32998,en_wiki,2,128,0.0021599999999999953,0.016359999999999986
246,22,0.34418,0.32782,0.34115,en_wiki,2,256,0.013330000000000009,0.016359999999999986
247,22,0.34418,0.32782,0.34393,en_wiki,2,512,0.016110000000000013,0.016359999999999986
248,22,0.34418,0.32782,0.34389,en_wiki,2,1024,0.016069999999999973,0.016359999999999986
249,22,0.34418,0.32782,0.34374,en_wiki,2,2048,0.01591999999999999,0.016359999999999986
250,22,0.34418,0.32782,0.34419,en_wiki,2,4096,0.016369999999999996,0.016359999999999986
251,22,0.34418,0.32782,0.34407,en_wiki,2,8192,0.016249999999999987,0.016359999999999986
252,22,0.34418,0.32782,0.34398,en_wiki,2,20615,0.016160000000000008,0.016359999999999986
253,23,0.34418,0.32782,0.21309,en_wiki,2,16,-0.11473,0.016359999999999986
254,23,0.34418,0.32782,0.33552,en_wiki,2,32,0.007699999999999985,0.016359999999999986
255,23,0.34418,0.32782,0.34127,en_wiki,2,64,0.013450000000000017,0.016359999999999986
256,23,0.34418,0.32782,0.33865,en_wiki,2,128,0.010830000000000006,0.016359999999999986
257,23,0.34418,0.32782,0.34356,en_wiki,2,256,0.015739999999999976,0.016359999999999986
258,23,0.34418,0.32782,0.344,en_wiki,2,512,0.016179999999999972,0.016359999999999986
